TEAM,unit,wins,make_playoffs,win_finals
mil,mil,52,0.961,0.06656
min,min,40,0.4586,0.0101
mia,mia,40,0.5517,0.01186
wsh,wsh,33,0.1392,7.8e-4
atl,atl,42,0.63506,0.01094
bos,bos,62,0.99974,0.34854
det,det,26,0.01846,8e-5
den,den,47,0.8365,0.03206
ny,ny,44,0.7205,0.01862
dal,dal,45,0.74646,0.0337
bkn,bkn,45,0.81362,0.024140000000000002
por,por,37,0.2549,0.00134
okc,okc,34,0.1357,0.00124
tor,tor,41,0.5582,0.01004
chi,chi,40,0.50834,0.00832
cha,cha,28,0.03546,3e-4
uta,uta,42,0.5837,0.01118
gs,gs,48,0.877,0.06744
cle,cle,48,0.89272,0.03386
hou,hou,28,0.02354,2.4e-4
lal,lal,36,0.22174,0.00366
phi,phi,46,0.8241,0.03636
mem,mem,52,0.94682,0.08168
no,no,54,0.97374,0.10842
lac,lac,39,0.34864,0.0042
sac,sac,45,0.70112,0.01648
orl,orl,25,0.00962,2e-5
phx,phx,48,0.87822,0.05498
ind,ind,37,0.33228,0.00276
sa,sa,26,0.01332,1e-4
