c_losses,c_wins,conference,current_losses,current_wins,division,draft_pick_1,draft_pick_2,draft_pick_3,elo,f_losses,f_wins,losses,make_conf_finals,make_conf_semis,make_finals,make_playoffs,name,playoff_losses,playoff_wins,point_diff,q_losses,q_wins,rating,rating_fs,rating_playoff,s_losses,s_wins,seed_1,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,win_finals,winpct,wins,eliminated,elo_change,rating_change
0,0,Eastern,24,58,Eastern Central,0,0,0,1561.36250000004,0,0,24,0,0,0,1,MIL,4,1,272,4,1,1676.42138644863,1652.886590163,1676.42138644863,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707317073170696,58,TRUE,0,0
0,0,Western,40,42,Western Northwest,0,0,0,1519.81849999989,0,0,40,0,0,0,1,MIN,5,2,-28,4,1,1596.30296253044,1606.94154932837,1622.76197057386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.512195121951209,42,TRUE,0,-5
0,0,Eastern,38,44,Eastern Southeast,0,0,0,1601.02219999972,0,0,38,0.85306,1,0.23493,1,MIA,3,8,28,1,4,1603.07083351092,1608.94861964019,1647.88812742009,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11675,0.536585365853631,44,FALSE,18,-19
0,0,Eastern,47,35,Eastern Southeast,0,0,0,1436.36330000004,0,0,47,0,0,0,0,WSH,0,0,-99,0,0,1509.40846127663,1506.36830230679,1509.40846127663,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.426829268292718,35,TRUE,0,1
0,0,Eastern,41,41,Eastern Southeast,0,0,0,1531.14809999991,0,0,41,0,0,0,1,ATL,4,3,3,4,2,1562.50171244885,1549.36183148249,1562.50171244885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,41,TRUE,0,0
0,0,Eastern,25,57,Eastern Atlantic,0,0,0,1682.47309999982,0,0,25,0.2625,1,0.20057,1,BOS,5,6,596,2,4,1713.6438574114,1695.11022437735,1722.47713326276,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.14844,0.695121951219429,57,FALSE,8,-10
0,0,Eastern,65,17,Eastern Central,0,0,0,1271.08690000022,0,0,65,0,0,0,0,DET,0,0,-674,0,0,1284.39981310448,1300.52256188152,1302.86828240002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.207317073170754,17,TRUE,0,0
0,0,Western,29,53,Western Northwest,0,0,0,1594.10940000024,0,0,29,0.77978,1,0.37249,1,DEN,3,7,349,1,4,1667.555680509,1635.22617053172,1674.7085042076,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12555,0.646341463414583,53,FALSE,-1,4
0,0,Eastern,35,47,Eastern Atlantic,0,0,0,1592.7434999999,0,0,35,0.14694,1,0.04221,1,NY,4,5,239,1,4,1590.01434141399,1604.60925404468,1607.09363291296,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02152,0.573170731707274,47,FALSE,-18,-20
0,0,Western,44,38,Western Southwest,0,0,0,1442.2972999999,0,0,44,0,0,0,0,DAL,0,0,6,0,0,1588.99470360405,1562.20753299929,1588.99470360405,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463414634146367,38,TRUE,0,-1
0,0,Eastern,37,45,Eastern Atlantic,0,0,0,1491.31589999986,0,0,37,0,0,0,1,BKN,4,0,25,4,0,1531.46188487094,1513.27791629981,1531.46188487094,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.548780487804841,45,TRUE,0,0
0,0,Western,49,33,Western Northwest,0,0,0,1310.23460000007,0,0,49,0,0,0,0,POR,0,0,-329,0,0,1520.71947617383,1496.86101955917,1520.71947617383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.402439024390292,33,TRUE,0,1
0,0,Western,42,40,Western Northwest,0,0,0,1516.83000000006,0,0,42,0,0,0,0,OKC,1,1,69,0,0,1465.42913988914,1480.88440827859,1479.43601173083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.487804878048791,40,TRUE,0,0
0,0,Eastern,41,41,Eastern Atlantic,0,0,0,1560.15820000005,0,0,41,0,0,0,0,TOR,1,0,117,0,0,1638.09867172112,1630.74593545311,1639.12881144624,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,41,TRUE,0,0
0,0,Eastern,42,40,Eastern Central,0,0,0,1543.21949999981,0,0,42,0,0,0,0,CHI,1,1,99,0,0,1548.02045515628,1578.88857482672,1575.07916136343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.487804878048791,40,TRUE,0,1
0,0,Eastern,55,27,Eastern Southeast,0,0,0,1386.72140000011,0,0,55,0,0,0,0,CHA,0,0,-512,0,0,1422.77715353316,1464.46990119,1497.18080301151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.329268292682912,27,TRUE,0,0
0,0,Western,45,37,Western Northwest,0,0,0,1414.42380000009,0,0,45,0,0,0,0,UTA,0,0,-77,0,0,1461.14017986815,1431.45220559358,1461.14017986815,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.451219512195157,37,TRUE,0,0
0,0,Western,38,44,Western Pacific,0,0,0,1591.34759999998,0,0,38,0.12531,1,0.06067,1,GS,6,5,152,3,4,1649.89077082206,1632.31763457188,1681.43417244522,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.02055,0.536585365853631,44,FALSE,-4,-21
0,0,Eastern,31,51,Eastern Central,0,0,0,1569.95859999973,0,0,31,0,0,0,1,CLE,4,1,414,4,1,1623.56194152941,1605.37954262572,1623.56194152941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.621951219512112,51,TRUE,0,0
0,0,Western,60,22,Western Southwest,0,0,0,1328.38329999996,0,0,60,0,0,0,0,HOU,0,0,-644,0,0,1319.36248330975,1317.60746808723,1319.36248330975,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.268292682926816,22,TRUE,0,-1
0,0,Western,39,43,Western Pacific,0,0,0,1620.92600000019,0,0,39,0.87469,1,0.46315,1,LAL,3,8,109,2,4,1633.08381797675,1616.78474702691,1658.42157535999,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.17594,0.524390243902419,43,FALSE,4,-19
0,0,Eastern,28,54,Eastern Atlantic,0,0,0,1662.96600000001,0,0,28,0.7375,1,0.52229,1,PHI,2,7,370,0,4,1687.1107946765,1677.49646676093,1703.3592134701,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.35684,0.658536585365825,54,FALSE,-8,60
0,0,Western,31,51,Western Southwest,0,0,0,1568.28210000005,0,0,31,0,0,0,1,MEM,4,2,278,4,2,1618.36116980084,1648.4689032789,1669.46759681586,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.621951219512112,51,TRUE,0,0
0,0,Western,40,42,Western Southwest,0,0,0,1529.81619999993,0,0,40,0,0,0,0,NO,1,0,150,0,0,1574.83289448358,1565.71010541604,1574.83289448358,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512195121951209,42,TRUE,0,-1
0,0,Western,38,44,Western Pacific,0,0,0,1523.61859999985,0,0,38,0,0,0,1,LAC,4,1,9,4,1,1579.60110231606,1556.86819023899,1579.60110231606,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.536585365853631,44,TRUE,0,41
0,0,Western,34,48,Western Pacific,0,0,0,1537.08739999996,0,0,34,0,0,0,1,SAC,4,3,202,4,3,1527.56686632207,1523.87028705516,1527.56686632207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.585365853658483,48,TRUE,0,-1
0,0,Eastern,48,34,Eastern Southeast,0,0,0,1448.47119999989,0,0,48,0,0,0,0,ORL,0,0,-210,0,0,1435.57680276798,1432.00610358066,1434.46718179746,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.414634146341507,34,TRUE,0,-1
0,0,Western,37,45,Western Pacific,0,0,0,1582.95289999993,0,0,37,0.22022,1,0.10369,1,PHX,4,6,170,1,4,1619.84617041628,1604.50966040476,1627.43176730532,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.03441,0.548780487804841,45,FALSE,1,-13
0,0,Eastern,47,35,Eastern Central,0,0,0,1399.74600000002,0,0,47,0,0,0,0,IND,0,0,-261,0,0,1457.97290752163,1446.26780103954,1457.97290752163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426829268292718,35,TRUE,0,1
0,0,Western,60,22,Western Southwest,0,0,0,1329.73139999994,0,0,60,0,0,0,0,SA,0,0,-823,0,0,1360.03697518616,1353.9147305402,1360.03697518616,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.268292682926816,22,TRUE,0,0
