TEAM,unit,wins,make_playoffs,win_finals
mil,mil,54,0.99922,0.07206
min,min,41,0.45164,0.0051
mia,mia,45,0.83226,0.024140000000000002
wsh,wsh,38,0.21426,9e-4
atl,atl,43,0.68724,0.01084
bos,bos,57,0.99998,0.25768
det,det,22,0,0
den,den,55,0.9999,0.13536
ny,ny,43,0.61992,0.00416
dal,dal,47,0.96762,0.17748
bkn,bkn,47,0.91678,0.00736
por,por,39,0.24728,0.00144
okc,okc,37,0.07392,2e-5
tor,tor,40,0.3878,0.00468
chi,chi,39,0.28652,0.00124
cha,cha,26,1e-4,0
uta,uta,41,0.38262,0.00132
gs,gs,44,0.78248,0.03176
cle,cle,50,0.99244,0.04064
hou,hou,19,0,0
lal,lal,39,0.23078,0.0034
phi,phi,50,0.98742,0.0811
mem,mem,50,0.98668,0.08552
no,no,43,0.64394,0.00708
lac,lac,45,0.8166,0.0177
sac,sac,43,0.58782,0.00158
orl,orl,33,0.00652,4e-5
phx,phx,44,0.82872,0.02734
ind,ind,36,0.06954,6e-5
sa,sa,21,0,0
