c_losses,c_wins,carmelo,conference,current_losses,current_wins,division,draft_pick_1,draft_pick_2,draft_pick_3,elo,elo_long,f_losses,f_wins,losses,make_conf_finals,make_conf_semis,make_finals,make_playoffs,name,playoff_losses,playoff_wins,point_diff,q_losses,q_wins,rating,rating_fs,rating_playoff,s_losses,s_wins,seed_1,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,win_finals,winpct,wins,eliminated,series_clinches,elo_change,rating_change
0,0,1631.67127070915,Eastern,17,41,Eastern Central,0,0,0,1631.61870444379,1600.48394823102,0,0,25.31214,0.5287,0.7971,0.28462,0.99998,MIL,0,0,298.93072,0,0,1626.99802933195,1667.52301654599,1700.3378196104,0,0,0.42502,0,0,0,0,0,0,0.44248,0.09818,0.03084,0.00306,4e-04,0,0,2e-05,0.1697,0.691315365853662,56.68786,FALSE,list(),16,2
0,0,1523.13987363743,Western,30,31,Western Northwest,0,0,0,1520.19364490641,1514.399793055,0,0,39.8378,0.11474,0.26896,0.04828,0.63762,MIN,0,0,16.49976,0,0,1539.60163121958,1608.61369465936,1620.02311336588,0,0,0,0.10426,0.0806,0.04514,0.01428,0,0,0.0029,0.04116,0.0757,0.1003,0.11912,0.15166,0.14678,0.1181,0.01738,0.5141731707317,42.1622,FALSE,list(),-5,25
0,0,1564.50613566739,Eastern,27,32,Eastern Southeast,0,0,0,1556.72878138721,1557.45883790812,0,0,37.42748,0.10866,0.30564,0.04114,0.83536,MIA,0,0,33.01768,0,0,1568.93907773895,1586.8740914141,1616.93042117348,0,0,0,0.054,0.0118,0.00168,8e-05,0,0,0.00058,0.0178,0.06684,0.19644,0.24162,0.186,0.12608,0.09708,0.01756,0.543567317073151,44.57252,FALSE,list(),-16,20
0,0,1533.13575079665,Eastern,30,28,Eastern Southeast,0,0,0,1534.19406745032,1501.31394689287,0,0,41.72766,0.01734,0.05954,0.00462,0.36424,WSH,0,0,28.63258,0,0,1528.30911383369,1535.22618109043,1537.81936990432,0,0,0,0.25572,0.12962,0.04292,0.0111,4e-05,0,0,0.00034,0.00186,0.01984,0.05232,0.12888,0.161,0.19636,0.0012,0.49112609756098,40.27234,FALSE,list(),32,8
0,0,1508.9457940068,Eastern,30,29,Eastern Southeast,0,0,0,1507.23067264762,1513.5337679033,0,0,40.77178,0.0393,0.1133,0.01188,0.50248,ATL,0,0,1.22208,0,0,1540.86269052847,1557.84088462314,1574.63064296365,0,0,0,0.19434,0.0808,0.02046,0.00304,0,0,0,6e-04,0.0056,0.0395,0.0777,0.18024,0.19884,0.19888,0.00386,0.502783170731706,41.22822,FALSE,list(),-32,-36
0,0,1655.67192226842,Eastern,17,42,Eastern Atlantic,0,0,0,1642.35195312558,1637.09454769633,0,0,24.75534,0.59728,0.83814,0.37068,1,BOS,0,0,476.37858,0,0,1659.45380489781,1674.60855213003,1719.54460420545,0,0,0.53078,0,0,0,0,0,0,0.37026,0.07648,0.02114,0.00128,4e-05,2e-05,0,0,0.2337,0.698105609756099,57.24466,FALSE,list(),-4,-9
0,0,1334.71811822068,Eastern,44,15,Eastern Central,0,0,0,1339.75233961735,1358.60715948078,0,0,60.41076,0,0,0,0,DET,0,0,-598.66528,0,0,1324.65578577727,1322.00483593107,1322.28134233835,0,0,0,0,0,0.00018,0.00178,0.14198,0.85606,0,0,0,0,0,0,0,0,0,0.263283414634144,21.58924,FALSE,list(),-2,-7
0,0,1602.97331423492,Western,18,41,Western Northwest,0,0,0,1619.38779822151,1594.36606177229,0,0,26.05194,0.50618,0.7735,0.29636,1,DEN,0,0,361.22402,0,0,1614.21163653331,1651.8305872999,1691.42585200476,0,0,0.90792,0,0,0,0,0,0,0.08958,0.0023,0.00016,2e-05,2e-05,0,0,0,0.1492,0.682293414634153,55.94806,FALSE,list(),12,25
0,0,1577.34676784686,Eastern,27,33,Eastern Atlantic,0,0,0,1568.30263241251,1544.80757133376,0,0,37.33642,0.0625,0.23102,0.01798,0.83822,NY,0,0,156.82248,0,0,1573.59995017818,1578.48998240372,1583.62788637829,0,0,0,0.0458,0.00508,0.00048,2e-05,0,0,2e-04,0.00918,0.04746,0.21112,0.25072,0.18964,0.1299,0.1104,0.00564,0.544677804878028,44.66358,FALSE,list(),33,35
0,0,1528.58613086585,Western,29,31,Western Southwest,0,0,0,1521.3502781651,1536.98539506932,0,0,36.75612,0.28256,0.56264,0.1428,0.9321,DAL,0,0,131.93446,0,0,1589.64239391341,1637.51831409047,1662.51867615338,0,0,0.00078,0.0208,0.00848,0.00354,0.00066,0,0,0.0822,0.21152,0.228,0.1648,0.11514,0.07814,0.05152,0.03442,0.06078,0.551754634146318,45.24388,FALSE,list(),-12,-32
0,0,1548.69071327465,Eastern,24,34,Eastern Atlantic,0,0,0,1540.05289739275,1541.69860738738,0,0,36.26122,0.04646,0.22142,0.01214,0.90122,BKN,0,0,93.30052,0,0,1524.51406503285,1530.6091984893,1556.47259083705,0,0,8e-05,0.02028,0.00188,0.00026,8e-05,0,0,0.00214,0.02598,0.10084,0.32358,0.26542,0.10726,0.07592,0.07628,0.00342,0.557789999999976,45.73878,FALSE,list(),-2,1
0,0,1439.76819998116,Western,30,28,Western Northwest,0,0,0,1435.68395071238,1439.39750309692,0,0,43.5911,0.00828,0.0337,0.0021,0.1657,POR,0,0,-55.723,0,0,1464.131068111,1496.03994685784,1509.74106464599,0,0,0,0.11548,0.15826,0.22468,0.25142,0,0,8e-05,0.00254,0.00708,0.01722,0.02788,0.04626,0.06464,0.08446,0.00044,0.468401219512209,38.4089,FALSE,list(),-15,24
0,0,1517.28220033545,Western,29,28,Western Northwest,0,0,0,1525.22484212825,1477.96481188293,0,0,44.49144,0.00138,0.01048,3e-04,0.0858,OKC,0,0,4.11894,0,0,1462.256696697,1441.22936200547,1440.64011811289,0,0,0,0.10016,0.1494,0.22862,0.37422,0,0,8e-05,0.00164,0.00412,0.0079,0.01426,0.022,0.0358,0.0618,6e-05,0.45742146341465,37.50856,FALSE,list(),-3,3
0,0,1525.73917105598,Eastern,31,28,Eastern Atlantic,0,0,0,1521.53277636475,1522.04618868754,0,0,41.48916,0.05738,0.12812,0.02108,0.4581,TOR,0,0,82.70826,0,0,1581.66679246601,1602.22328814333,1607.93873510451,0,0,0,0.20026,0.10702,0.03354,0.00498,2e-05,0,0,8e-05,0.00142,0.01446,0.0476,0.17076,0.22378,0.19608,0.00876,0.494034634146344,40.51084,FALSE,list(),6,5
0,0,1469.003293858,Eastern,33,26,Eastern Central,0,0,0,1466.32640550472,1473.40742900593,0,0,45.33742,0.00382,0.01202,0.00112,0.08456,CHI,0,0,-42.20414,0,0,1485.32411594875,1574.45067194113,1566.9815101316,0,0,0,0.14854,0.3396,0.22574,0.11534,0.00108,2e-05,0,0,0,0.00052,0.00288,0.02096,0.0602,0.08512,0.00036,0.447104634146359,36.66258,FALSE,list(),-31,-8
0,0,1393.70860232972,Eastern,43,17,Eastern Southeast,0,0,0,1388.97443223662,1417.75615719799,0,0,55.9983,0,0,0,0,CHA,0,0,-444.0069,0,0,1428.38310691909,1442.0129829846,1455.8310242702,0,0,0,0,4e-05,0.0028,0.03248,0.82134,0.14334,0,0,0,0,0,0,0,0,0,0.317093902439024,26.0017,FALSE,list(),14,44
0,0,1459.72261763961,Western,31,29,Western Northwest,0,0,0,1475.03007775444,1512.74682652547,0,0,42.76642,0.0043,0.02468,0.00088,0.18964,UTA,0,0,-1.87372,0,0,1454.04892700485,1472.94680326153,1470.65333133036,0,0,0,0.16756,0.18116,0.17738,0.16622,0,0,8e-05,0.0032,0.00948,0.02046,0.03414,0.0488,0.07348,0.11804,8e-05,0.478458292682937,39.23358,FALSE,list(),6,19
0,0,1562.52630212344,Western,29,29,Western Pacific,0,0,0,1544.49682535819,1553.03263159592,0,0,39.27612,0.20456,0.38896,0.10732,0.71888,GS,0,0,59.57278,0,0,1566.4685207556,1612.83505051026,1659.54165324283,0,0,6e-05,0.07416,0.06246,0.0383,0.01562,0,0,0.01426,0.06494,0.09612,0.1173,0.13132,0.15696,0.13792,0.09058,0.04756,0.521022926829257,42.72388,FALSE,list(),-3,68
0,0,1621.55125062817,Eastern,23,38,Eastern Central,0,0,0,1620.37772708752,1582.05703784891,0,0,30.86638,0.2339,0.61854,0.09174,0.99708,CLE,0,0,425.22378,0,0,1621.31084300449,1626.9844867699,1642.21055980651,0,0,0.01632,0.00018,0,0,0,0,0,0.08872,0.38454,0.36408,0.10154,0.0329,0.0062,0.00278,0.00274,0.04338,0.623580731707311,51.13362,FALSE,list(),-5,3
0,0,1277.81100300457,Western,45,13,Western Southwest,0,0,0,1281.00414639109,1318.90646042253,0,0,63.7307,0,0,0,0,HOU,0,0,-703.73154,0,0,1288.51146645051,1294.53582415078,1291.62759940335,0,0,0,0,0,0,0,0.26164,0.73836,0,0,0,0,0,0,0,0,0,0.22279634146342,18.2693,FALSE,list(),-7,31
0,0,1487.22917561086,Western,32,27,Western Pacific,0,0,0,1485.84442442646,1481.59784617058,0,0,42.0581,0.0817,0.1534,0.04054,0.33232,LAL,0,0,-24.97576,0,0,1531.1595803642,1574.37948478693,1633.27997310023,0,0,0,0.10472,0.16866,0.16442,0.12808,0,0,0.00072,0.00732,0.01604,0.03008,0.04668,0.09818,0.1333,0.1018,0.0176,0.487096341463421,39.9419,FALSE,list(),3,21
0,0,1607.52892034535,Eastern,19,38,Eastern Atlantic,0,0,0,1600.81734643977,1583.57259153116,0,0,30.70278,0.3041,0.67348,0.14286,0.99684,PHI,0,0,244.84684,0,0,1623.57181382052,1624.49400822854,1664.86206071349,0,0,0.0278,0.00046,0,0,0,0,0,0.09562,0.38682,0.35992,0.08866,0.02822,0.0063,0.0035,0.0027,0.07456,0.625575853658532,51.29722,FALSE,list(),8,37
0,0,1594.34877650439,Western,22,35,Western Southwest,0,0,0,1584.59886687624,1588.52393449964,0,0,31.42332,0.40392,0.69306,0.21454,0.99734,MEM,0,0,320.29926,0,0,1622.75674975191,1645.39479172103,1673.82673293851,0,0,0.08984,0.00054,0.00018,2e-05,0,0,0,0.68814,0.13138,0.04544,0.02282,0.01194,0.00524,0.00254,0.00192,0.0959,0.616788780487795,50.57668,FALSE,list(),3,5
0,0,1511.83561084224,Western,29,30,Western Southwest,0,0,0,1497.03732413333,1514.33551679767,0,0,39.80002,0.04428,0.1621,0.01218,0.58872,NO,0,0,103.24312,0,0,1529.40337873466,1540.7763822345,1553.94969240299,0,0,4e-05,0.11664,0.084,0.05716,0.02372,0,0,0.00736,0.04574,0.07682,0.10658,0.11934,0.11712,0.11572,0.12976,0.0032,0.514633902439017,42.19998,FALSE,list(),-3,26
0,0,1550.75740427402,Western,28,33,Western Pacific,0,0,0,1544.45877295769,1528.40798858749,0,0,37.31684,0.14084,0.37508,0.0536,0.865,LAC,0,0,53.92986,0,0,1553.97516784529,1580.0038733203,1609.48586895374,0,0,0.00032,0.04024,0.018,0.00838,0.00228,0,0,0.04942,0.18338,0.16292,0.15908,0.13754,0.09452,0.07782,0.0661,0.0173,0.544916585365833,44.68316,FALSE,list(),22,27
0,0,1504.7882375288,Western,25,32,Western Pacific,0,0,0,1509.77387992192,1495.57291917315,0,0,39.26254,0.0248,0.11816,0.00538,0.59756,SAC,0,0,78.76092,0,0,1500.34080260744,1502.90498978915,1511.03384896738,0,0,0.00032,0.12234,0.07234,0.04406,0.021,0,0,0.01552,0.07144,0.09058,0.10252,0.12,0.0973,0.09988,0.1427,0.00118,0.521188536585356,42.73746,FALSE,list(),-6,-7
0,0,1470.0239010059,Eastern,35,24,Eastern Southeast,0,0,0,1468.1345072817,1429.05334693481,0,0,48.6331,0.00016,0.00042,0,0.00636,ORL,0,0,-227.07944,0,0,1451.14352717933,1453.38336879169,1455.31276550267,0,0,0,0.02386,0.12504,0.26808,0.53712,0.0293,0.00048,0,0,0,0,2e-05,0.00086,0.00548,0.00976,0,0.406913414634157,33.3669,FALSE,list(),9,12
0,0,1540.6672884874,Western,28,32,Western Pacific,0,0,0,1535.50495726679,1554.35579733541,0,0,37.22548,0.18246,0.43528,0.07572,0.88932,PHX,0,0,136.04546,0,0,1533.93306168914,1599.87179157109,1625.77197387161,0,0,0.00072,0.0331,0.01646,0.0083,0.0025,0,0,0.04966,0.23344,0.18754,0.15092,0.12262,0.08382,0.0606,0.05032,0.02716,0.546030731707296,44.77452,FALSE,list(),-8,19
0,0,1403.22882449108,Eastern,34,26,Eastern Central,0,0,0,1402.10052397229,1426.24020072858,0,0,47.5919,4e-04,0.00126,0.00014,0.01556,IND,0,0,-236.17024,0,0,1439.62345618143,1445.37671588416,1450.58069438548,0,0,0,0.05656,0.19912,0.40386,0.29398,0.00624,1e-04,0,0,0,0,0.00016,0.00288,0.01252,0.02458,2e-05,0.41961097560977,34.4081,FALSE,list(),-3,22
0,0,1287.0934284254,Western,45,14,Western Southwest,0,0,0,1280.52992184599,1346.16127962444,0,0,61.79022,0,0,0,0,SA,0,0,-772.28208,0,0,1288.22233019815,1348.95718941289,1355.8213839022,0,0,0,0,0,0,0,0.73836,0.26164,0,0,0,0,0,0,0,0,0,0.246460731707319,20.20978,FALSE,list(),-5,86
