c_losses,c_wins,conference,current_losses,current_wins,division,draft_pick_1,draft_pick_2,draft_pick_3,elo,f_losses,f_wins,losses,make_conf_finals,make_conf_semis,make_finals,make_playoffs,name,playoff_losses,playoff_wins,point_diff,q_losses,q_wins,rating,rating_fs,rating_playoff,s_losses,s_wins,seed_1,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,win_finals,winpct,wins,eliminated,elo_change,rating_change
0,0,Eastern,24,58,Eastern Central,0,0,0,1561.36250000004,0,0,24,0,0,0,1,MIL,4,1,272,4,1,1676.57427712211,1653.21493823831,1676.57427712211,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707317073170696,58,TRUE,0,0
0,0,Western,40,42,Western Northwest,0,0,0,1519.81849999989,0,0,40,0,0,0,1,MIN,5,2,-28,4,1,1599.0758799611,1605.89282664898,1621.78536705873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.512195121951209,42,TRUE,0,7
0,0,Eastern,38,44,Eastern Southeast,0,0,0,1582.97800000008,0,0,38,0.54898,1,0.12105,1,MIA,3,6,1,1,4,1584.1846472466,1601.17950141486,1638.01430098357,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0525,0.536585365853631,44,FALSE,9,-30
0,0,Eastern,47,35,Eastern Southeast,0,0,0,1436.36330000004,0,0,47,0,0,0,0,WSH,0,0,-99,0,0,1507.67650642227,1506.90270562951,1507.67650642227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.426829268292718,35,TRUE,0,-3
0,0,Eastern,41,41,Eastern Southeast,0,0,0,1531.14809999991,0,0,41,0,0,0,1,ATL,4,3,3,4,2,1563.66902752351,1548.97331163216,1563.66902752351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,41,TRUE,0,1
0,0,Eastern,25,57,Eastern Atlantic,0,0,0,1704.96710000001,0,0,25,0.77858,1,0.62859,1,BOS,3,6,609,2,4,1726.15852264077,1703.60714024306,1734.04883583064,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.43382,0.695121951219429,57,FALSE,21,1
0,0,Eastern,65,17,Eastern Central,0,0,0,1271.08690000022,0,0,65,0,0,0,0,DET,0,0,-674,0,0,1285.73001515288,1297.66307866686,1297.41707191248,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.207317073170754,17,TRUE,0,-1
0,0,Western,29,53,Western Northwest,0,0,0,1589.10600000002,0,0,29,0.79465,1,0.41285,1,DEN,2,6,338,1,4,1664.83430797164,1634.76706266518,1672.03207731605,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16005,0.646341463414583,53,FALSE,12,16
0,0,Eastern,35,47,Eastern Atlantic,0,0,0,1610.78769999997,0,0,35,0.45102,1,0.08766,1,NY,2,5,266,1,4,1608.91275455243,1610.86507326619,1612.47979413591,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.03302,0.573170731707274,47,FALSE,-9,-3
0,0,Western,44,38,Western Southwest,0,0,0,1442.2972999999,0,0,44,0,0,0,0,DAL,0,0,6,0,0,1585.82669051308,1560.34546451717,1585.82669051308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463414634146367,38,TRUE,0,0
