Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Boston Celtics,57.8,24.2,.705,-0.36,-0.05,5.94,35-12,23-12,67-15,44-38,100.0%,95.7%,38.9%,25.3%,58,1,0.253,bos
2,Cleveland Cavaliers,50.5,31.5,.616,0.13,-0.77,4.57,29-19,22-12,61-21,40-42,99.9%,78.2%,22.1%,12.3%,50,0.9990000000000001,0.12300000000000001,cle
3,Philadelphia 76ers,50.4,31.6,.615,-0.55,0.65,3.30,30-16,20-16,61-21,40-42,99.8%,2.7%,14.1%,6.8%,50,0.998,0.068,phi
4,Brooklyn Nets,49.8,32.2,.608,-0.16,0.14,2.88,29-17,21-15,60-22,39-43,99.6%,1.6%,11.0%,5.1%,50,0.996,0.051,bkn
5,Milwaukee Bucks,47.8,34.2,.583,-0.03,0.09,0.99,29-17,19-17,58-24,37-45,97.4%,21.5%,4.2%,1.6%,48,0.9740000000000001,0.016,mil
6,Miami Heat,43.0,39.0,.525,-0.03,0.14,0.18,26-22,17-17,54-28,33-49,73.4%,68.6%,2.0%,0.6%,43,0.7340000000000001,0.006,mia
7,New York Knicks,42.8,39.2,.522,-0.40,0.71,1.62,25-23,18-16,52-30,33-49,72.5%,,3.8%,1.6%,43,0.725,0.016,ny
8,Chicago Bulls,40.8,41.2,.498,0.70,-0.76,0.47,21-24,20-17,51-31,30-52,48.5%,0.2%,1.6%,0.5%,41,0.485,0.005,chi
9,Atlanta Hawks,40.6,41.4,.495,-0.37,0.41,-0.69,24-23,17-18,52-30,30-52,42.5%,23.1%,0.8%,0.3%,41,0.425,0.003,atl
10,Washington Wizards,38.5,43.5,.470,0.58,-0.73,-0.27,20-26,19-17,50-32,28-54,22.2%,8.3%,0.6%,0.2%,38,0.222,0.002,wsh
11,Indiana Pacers,38.8,43.2,.473,0.27,-0.10,-1.50,23-25,16-18,50-32,28-54,21.9%,0.1%,0.1%,0,39,0.21899999999999997,0,ind
12,Toronto Raptors,38.6,43.4,.471,0.34,-0.37,0.55,21-27,18-16,49-33,27-55,22.3%,,0.7%,0.2%,39,0.223,0.002,tor
13,Orlando Magic,31.3,50.7,.382,0.09,0.23,-3.69,17-29,14-22,44-38,22-60,0.1%,,,0,31,0.001,0,orl
14,Detroit Pistons,23.6,58.4,.287,0.84,-0.46,-6.77,12-36,12-22,33-49,15-67,0,,,0,24,0,0,det
15,Charlotte Hornets,25.6,56.4,.313,0.54,-0.08,-5.76,13-34,13-22,35-47,17-65,0,,,0,26,0,0,cha
1,Denver Nuggets,53.8,28.2,.656,-0.41,0.03,3.95,33-14,21-14,63-19,42-40,100.0%,99.7%,24.4%,11.8%,54,1,0.11800000000000001,den
2,Memphis Grizzlies,54.1,27.9,.660,-0.26,-0.39,5.24,31-15,23-13,63-19,43-39,100.0%,98.0%,35.0%,19.5%,54,1,0.195,mem
3,Sacramento Kings,46.7,35.3,.570,-0.43,-0.07,2.50,26-19,21-16,57-25,36-46,96.8%,79.5%,11.5%,4.4%,47,0.968,0.044000000000000004,sac
4,New Orleans Pelicans,45.9,36.1,.560,-0.20,-0.14,2.40,26-21,20-15,56-26,35-47,95.2%,1.9%,11.0%,4.5%,46,0.9520000000000001,0.045,no
5,Phoenix Suns,42.1,39.9,.514,0.35,-0.27,0.99,24-24,18-16,53-29,31-51,69.3%,14.2%,3.5%,1.1%,42,0.693,0.011000000000000001,phx
6,Dallas Mavericks,42.5,39.5,.518,0.00,-0.23,0.40,25-23,17-17,53-29,31-51,69.9%,0.1%,3.0%,0.8%,42,0.6990000000000001,0.008,dal
7,Oklahoma City Thunder,42.5,39.5,.519,0.43,-0.67,1.49,23-24,20-15,53-29,32-50,71.7%,0.1%,5.0%,1.7%,42,0.7170000000000001,0.017,okc
8,Utah Jazz,41.5,40.5,.506,0.02,-0.11,0.96,24-25,17-16,52-30,31-51,60.2%,0.1%,3.3%,1.0%,42,0.602,0.01,uta
9,Golden State Warriors,39.8,42.2,.486,-0.16,0.26,-0.55,23-24,17-18,50-32,29-53,36.4%,3.5%,1.1%,0.3%,40,0.364,0.003,gs
10,Minnesota Timberwolves,39.6,42.4,.483,-0.46,0.62,-0.71,24-24,16-18,50-32,29-53,30.4%,0.1%,0.8%,0.2%,40,0.304,0.002,min
11,LA Clippers,39.4,42.6,.480,-0.74,0.97,-1.54,25-24,14-19,50-32,30-52,26.6%,2.0%,0.4%,0.1%,39,0.266,0.001,lac
12,Portland Trail Blazers,38.9,43.1,.475,-0.15,0.18,-0.08,21-25,18-18,50-32,29-53,25.0%,,0.7%,0.2%,39,0.25,0.002,por
13,Los Angeles Lakers,38.5,43.5,.470,-0.09,0.18,-0.95,22-25,17-18,49-33,28-54,18.5%,0.8%,0.3%,0.1%,38,0.185,0.001,lal
14,Houston Rockets,20.5,61.5,.250,0.07,0.65,-7.76,10-36,11-25,31-51,11-71,0,,,0,20,0,0,hou
15,San Antonio Spurs,24.2,57.8,.295,0.48,0.02,-8.17,14-32,10-26,35-47,15-67,0,,,0,24,0,0,sa
