Rk,TEAM,W,L,W/L%,SOS,SRS,Current,Playoffs,Division,Win 1st Rd,Win Semi,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit
1,Milwaukee Bucks,58.0,24.0,.707,-0.02,3.61,58-24,100.0%,100.0%,49.2%,24.2%,9.9%,5.7%,58,1,0.057,mil
2,Boston Celtics,57.0,25.0,.695,-0.15,6.38,57-25,100.0%,100.0%,89.4%,56.9%,37.7%,27.9%,57,1,0.27899999999999997,bos
3,Philadelphia 76ers,54.0,28.0,.659,0.06,4.37,54-28,100.0%,,100.0%,40.4%,22.1%,14.1%,54,1,0.141,phi
4,Cleveland Cavaliers,51.0,31.0,.622,-0.15,5.23,51-31,100.0%,,41.8%,29.0%,14.6%,10.0%,51,1,0.1,cle
5,New York Knicks,47.0,35.0,.573,0.06,2.99,47-35,100.0%,,58.2%,33.1%,12.3%,6.7%,47,1,0.067,ny
6,Brooklyn Nets,45.0,37.0,.549,0.18,1.03,45-37,100.0%,,0.0%,0.0%,,0,45,1,0,bkn
7,Atlanta Hawks,41.0,41.0,.500,0.02,0.32,41-41,100.0%,,10.6%,2.7%,0.7%,0.2%,41,1,0.002,atl
8,Miami Heat,44.0,38.0,.537,0.18,-0.13,44-38,100.0%,100.0%,50.8%,13.8%,2.8%,0.9%,44,1,0.009000000000000001,mia
9,Toronto Raptors,41.0,41.0,.500,0.12,1.59,41-41,0,,,,,0,41,0,0,tor
10,Chicago Bulls,40.0,42.0,.488,0.07,1.37,40-42,0,,,,,0,40,0,0,chi
11,Washington Wizards,35.0,47.0,.427,0.15,-1.06,35-47,0,,,,,0,35,0,0,wsh
12,Indiana Pacers,35.0,47.0,.427,0.28,-2.91,35-47,0,,,,,0,35,0,0,ind
13,Orlando Magic,34.0,48.0,.415,0.17,-2.39,34-48,0,,,,,0,34,0,0,orl
14,Charlotte Hornets,27.0,55.0,.329,0.35,-5.89,27-55,0,,,,,0,27,0,0,cha
15,Detroit Pistons,17.0,65.0,.207,0.49,-7.73,17-65,0,,,,,0,17,0,0,det
1,Denver Nuggets,53.0,29.0,.646,-0.29,3.04,53-29,100.0%,100.0%,97.6%,57.3%,32.0%,12.0%,53,1,0.12,den
2,Memphis Grizzlies,51.0,31.0,.622,-0.34,3.60,51-31,100.0%,100.0%,46.1%,27.9%,15.1%,6.4%,51,1,0.064,mem
3,Sacramento Kings,48.0,34.0,.585,-0.35,2.30,48-34,100.0%,100.0%,71.7%,36.9%,17.2%,6.1%,48,1,0.061,sac
4,Phoenix Suns,45.0,37.0,.549,0.01,2.08,45-37,100.0%,,92.4%,39.4%,20.7%,6.5%,45,1,0.065,phx
5,LA Clippers,44.0,38.0,.537,-0.19,0.31,44-38,100.0%,,7.6%,2.4%,0.9%,0.2%,44,1,0.002,lac
6,Golden State Warriors,44.0,38.0,.537,-0.15,1.66,44-38,100.0%,,28.3%,13.1%,6.1%,1.4%,44,1,0.013999999999999999,gs
7,Los Angeles Lakers,43.0,39.0,.524,-0.15,0.43,43-39,100.0%,,53.9%,22.1%,7.8%,1.8%,43,1,0.018000000000000002,lal
8,Minnesota Timberwolves,42.0,40.0,.512,-0.18,-0.22,42-40,100.0%,,2.4%,0.9%,0.3%,0.1%,42,1,0.001,min
9,New Orleans Pelicans,42.0,40.0,.512,-0.26,1.63,42-40,0,,,,,0,42,0,0,no
10,Oklahoma City Thunder,40.0,42.0,.488,-0.12,0.96,40-42,0,,,,,0,40,0,0,okc
11,Dallas Mavericks,38.0,44.0,.463,-0.22,-0.14,38-44,0,,,,,0,38,0,0,dal
12,Utah Jazz,37.0,45.0,.451,-0.09,-1.03,37-45,0,,,,,0,37,0,0,uta
13,Portland Trail Blazers,33.0,49.0,.402,0.05,-3.96,33-49,0,,,,,0,33,0,0,por
14,San Antonio Spurs,22.0,60.0,.268,0.22,-9.82,22-60,0,,,,,0,22,0,0,sa
15,Houston Rockets,22.0,60.0,.268,0.24,-7.62,22-60,0,,,,,0,22,0,0,hou
