Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,Win Conf,Win Finals,wins,make_playoffs,win_finals,unit,messenger_team
1,Boston Celtics,61.1,20.9,.745,1.26,-1.02,10.40,21-6,40-15,72-10,44-38,100.0%,73.3%,44.0%,31.3%,61,1,0.313,bos,Celtics
2,Philadelphia 76ers,58.7,23.3,.716,-0.86,-0.49,10.51,19-8,40-15,70-12,43-39,100.0%,26.7%,43.3%,31.1%,59,1,0.311,phi,76ers
3,Milwaukee Bucks,52.0,30.0,.634,-1.44,0.43,3.95,21-7,31-23,66-16,38-44,99.7%,93.3%,5.0%,1.8%,52,0.997,0.018000000000000002,mil,Bucks
4,Orlando Magic,47.1,34.9,.574,-0.17,-0.51,2.46,16-11,31-24,61-21,33-49,93.3%,73.5%,2.1%,0.7%,47,0.9329999999999999,0.006999999999999999,orl,Magic
5,New York Knicks,46.6,35.4,.569,-0.47,0.57,2.86,16-11,31-24,61-21,33-49,93.1%,,3.1%,1.1%,47,0.9309999999999999,0.011000000000000001,ny,Knicks
6,Cleveland Cavaliers,44.1,37.9,.538,1.04,-0.72,0.73,16-13,28-25,58-24,31-51,78.0%,5.3%,0.8%,0.2%,44,0.78,0.002,cle,Cavaliers
7,Miami Heat,42.6,39.4,.520,-1.30,0.30,-0.20,16-12,27-27,56-26,28-54,62.9%,18.4%,0.4%,0.1%,43,0.629,0.001,mia,Heat
8,Indiana Pacers,40.9,41.1,.498,-0.95,0.54,0.01,14-13,27-28,54-28,27-55,47.9%,1.4%,0.3%,0,41,0.479,0,ind,Pacers
9,Atlanta Hawks,40.9,41.1,.499,0.42,-0.21,0.68,12-15,29-26,54-28,25-57,46.2%,8.1%,0.5%,0.1%,41,0.462,0.001,atl,Hawks
10,Brooklyn Nets,41.3,40.7,.504,0.24,-0.07,0.50,13-14,28-27,55-27,28-54,53.2%,,0.5%,0.1%,41,0.532,0.001,bkn,Nets
11,Chicago Bulls,37.1,44.9,.453,0.12,-0.43,-1.92,13-17,24-28,49-33,25-57,13.9%,0.1%,0.1%,0,37,0.139,0,chi,Bulls
12,Toronto Raptors,36.6,45.4,.446,0.39,-0.07,-1.54,11-16,26-29,52-30,23-59,11.8%,,,0,37,0.11800000000000001,0,tor,Raptors
13,Charlotte Hornets,22.1,59.9,.269,0.23,0.56,-10.35,7-19,15-41,36-46,10-72,0,,,0,22,0,0,cha,Hornets
14,Washington Wizards,21.4,60.6,.261,0.22,0.41,-9.26,5-22,16-39,35-47,10-72,0,,,0,21,0,0,wsh,Wizards
15,Detroit Pistons,15.9,66.1,.194,0.67,0.26,-11.08,2-26,14-40,29-53,4-78,0,,,0,16,0,0,det,Pistons
1,Minnesota Timberwolves,57.1,24.9,.696,0.04,-0.50,6.81,21-6,36-19,71-11,42-40,100.0%,56.1%,24.9%,8.6%,57,1,0.086,min,T-Wolves
2,Oklahoma City Thunder,55.8,26.2,.681,0.24,-0.57,7.93,18-8,38-18,67-15,44-38,100.0%,33.5%,33.4%,13.8%,56,1,0.138,okc,Thunder
3,Denver Nuggets,53.0,29.0,.647,0.76,-0.75,5.62,19-10,34-19,65-17,38-44,99.5%,10.3%,16.9%,5.3%,53,0.995,0.053,den,Nuggets
4,LA Clippers,49.9,32.1,.609,-0.57,0.01,4.93,17-11,33-21,62-20,36-46,96.9%,74.8%,12.1%,3.6%,50,0.9690000000000001,0.036000000000000004,lac,Clippers
5,New Orleans Pelicans,46.1,35.9,.562,-0.38,0.03,2.21,17-12,29-24,60-22,32-50,79.0%,38.7%,2.8%,0.5%,46,0.79,0.005,no,Pelicans
6,Houston Rockets,45.9,36.1,.559,0.08,-0.41,3.08,13-12,33-24,59-23,30-52,78.8%,40.7%,3.9%,0.8%,46,0.7879999999999999,0.008,hou,Rockets
7,Sacramento Kings,45.3,36.7,.553,1.05,-0.06,1.05,16-10,29-27,58-24,33-49,70.6%,13.0%,1.7%,0.2%,45,0.706,0.002,sac,Kings
8,Golden State Warriors,44.8,37.2,.547,1.93,-1.11,2.37,13-14,32-23,60-22,31-51,70.1%,10.4%,2.8%,0.5%,45,0.701,0.005,gs,Warriors
9,Dallas Mavericks,44.1,37.9,.537,-0.67,0.23,0.59,16-11,28-27,58-24,31-51,60.8%,20.6%,1.1%,0.1%,44,0.608,0.001,dal,Mavericks
10,Los Angeles Lakers,40.4,41.6,.492,-0.14,0.57,-0.63,15-14,25-28,53-29,26-56,25.0%,1.2%,0.2%,0,40,0.25,0,lal,Lakers
11,Phoenix Suns,39.5,42.5,.482,-1.81,0.75,-0.77,14-13,26-29,54-28,26-56,19.3%,0.7%,0.2%,0,40,0.193,0,phx,Suns
12,Utah Jazz,27.8,54.2,.339,-0.42,1.19,-7.24,11-18,17-36,43-39,16-66,0,,,0,28,0,0,uta,Jazz
13,Memphis Grizzlies,27.7,54.3,.337,-0.40,0.49,-6.14,8-19,20-35,41-41,14-68,0,,,0,28,0,0,mem,Grizzlies
14,Portland Trail Blazers,24.6,57.4,.300,-0.84,1.18,-7.10,7-20,18-37,37-45,13-69,0,,,0,25,0,0,por,Blazers
15,San Antonio Spurs,19.6,62.4,.238,1.84,0.07,-10.05,4-23,16-39,32-50,9-73,0,,,0,20,0,0,sa,Spurs
