Rk,TEAM,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,First Round Seed1,First Round Seed2,First Round Seed3,First Round Seed4,First Round Seed5,First Round Seed6,First Round Seed7,First Round Seed8,NA,Pre Play-In1-6,Pre Play-In7,Pre Play-In8,Pre Play-In9,Pre Play-In10,Pre Play-InOut,NA,Win Conf,Win Finals
1,Milwaukee Bucks,59.1,22.9,.721,-0.10,2.53,4.11,58-22,1-1,60-22,58-24,100.0%,100.0%,100,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,16.2%,9.9%
2,Boston Celtics,56.4,25.6,.688,-0.16,0.95,6.22,55-25,1-1,57-25,55-27,100.0%,100.0%,NA,100,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,34.1%,24.8%
3,Philadelphia 76ers,53.8,28.2,.656,0.07,0.32,4.47,52-27,2-1,55-27,52-30,100.0%,,NA,NA,100,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,15.7%,9.6%
4,Cleveland Cavaliers,51.5,30.5,.628,-0.04,-3.99,5.31,50-30,1-1,52-30,50-32,100.0%,,NA,NA,NA,100,NA,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,21.3%,14.6%
5,New York Knicks,48.2,33.8,.588,0.07,-0.65,3.24,47-33,1-1,49-33,47-35,100.0%,,NA,NA,NA,NA,100,NA,NA,NA,NA,100.0,NA,NA,NA,NA,,NA,7.2%,4.0%
6,Brooklyn Nets,45.1,36.9,.550,0.16,1.29,1.18,44-36,1-1,46-36,44-38,97.0%,,NA,NA,NA,NA,NA,87.3,6.6,3.1,NA,87.3,12.7,NA,NA,NA,,NA,2.0%,0.7%
7,Miami Heat,43.4,38.6,.529,0.21,0.53,-0.57,42-37,1-2,45-37,42-40,74.2%,97.7%,NA,NA,NA,NA,NA,12.7,41.2,20.4,NA,12.7,85,2,0.3,NA,,NA,0.6%,0.3%
8,Atlanta Hawks,41.7,40.3,.509,-0.09,5.34,0.35,41-39,1-1,43-39,41-41,71.3%,2.3%,NA,NA,NA,NA,NA,NA,48.7,22.6,NA,,2.3,91.8,6,NA,,NA,1.0%,0.4%
,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,,
9,Toronto Raptors,40.8,41.2,.498,0.01,5.17,1.56,40-40,1-1,42-40,40-42,31.0%,,NA,NA,NA,NA,NA,NA,3.5,27.5,NA,,NA,6.3,93.7,NA,,NA,1.0%,0.5%
10,Chicago Bulls,39.3,42.7,.479,0.19,-3.73,1.20,38-42,1-1,40-42,38-44,26.4%,,NA,NA,NA,NA,NA,NA,NA,26.4,NA,,NA,NA,NA,100,,NA,0.8%,0.4%
11,Washington Wizards,35.3,46.7,.430,0.27,-4.20,-0.98,34-46,1-1,36-46,34-48,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
12,Orlando Magic,35.1,46.9,.428,0.09,1.97,-1.89,34-45,1-2,37-45,34-48,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
13,Indiana Pacers,35.0,47.0,.427,0.36,-2.23,-2.88,34-46,1-1,36-46,34-48,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
14,Charlotte Hornets,26.8,55.2,.327,0.41,-1.27,-6.09,26-54,1-1,28-54,26-56,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
15,Detroit Pistons,16.5,65.5,.201,0.54,-0.84,-7.70,16-64,1-1,18-64,16-66,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,100.0,NA,,
