unit,wins,make_playoffs,win_finals
bos,65,1,0.385
okc,58,1,0.039
min,57,1,0.076
cle,54,1,0.079
den,54,0.9990000000000001,0.052000000000000005
lac,53,0.9990000000000001,0.10800000000000001
mil,51,0.9990000000000001,0.125
ny,49,0.988,0.02
no,48,0.87,0.009000000000000001
dal,48,0.872,0.026000000000000002
phx,47,0.755,0.009000000000000001
orl,47,0.9440000000000001,0.002
mia,46,0.9540000000000001,0.011000000000000001
phi,46,0.925,0.017
gs,45,0.54,0.018000000000000002
ind,45,0.8909999999999999,0.005
sac,45,0.47600000000000003,0.003
lal,45,0.489,0.016
chi,38,0.132,0
atl,36,0.14400000000000002,0.001
uta,36,0,0
hou,36,0,0
tor,32,0.013999999999999999,0
bkn,31,0.01,0
mem,29,0,0
por,21,0,0
cha,19,0,0
sa,17,0,0
det,17,0,0
wsh,15,0,0
