Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%,Team.y,unit,make_playoffs,win_finals
Celtics,East,9.468383523,7.320572511,—,97.07697119,40.78805981,25.92910116,Boston Celtics,bos,0.9707697118999999,0.2592910116
76ers,East,6.73902919,5.489679708,—,96.70400223,18.97904908,10.73086037,Philadelphia 76ers,phi,0.9670400223,0.1073086037
Nuggets,West,6.057539721,5.68140026,—,97.72195257,37.21962354,19.19462406,Denver Nuggets,den,0.9772195257,0.19194624059999998
T-Wolves,West,5.114588004,2.007617009,—,96.02747744,12.01469459,4.375602256,Minnesota Timberwolves,min,0.9602747744,0.043756022559999996
Heat,East,4.415036639,2.501243516,—,92.21408204,5.972407975,2.69654176,Miami Heat,mia,0.9221408203999999,0.0269654176
Thunder,West,3.713345568,1.561969639,—,93.46512319,8.261924708,2.941880155,Oklahoma City Thunder,okc,0.9346512319,0.029418801550000002
Bucks,East,3.690273149,2.182240878,—,96.53400223,18.75576129,8.647150913,Milwaukee Bucks,mil,0.9653400222999999,0.08647150913000001
Pelicans,West,3.025864465,1.089604942,—,67.45519536,4.969406633,1.527246641,New Orleans Pelicans,no,0.6745519536000001,0.015272466410000001
Warriors,West,2.974661596,1.368503557,—,68.37978738,5.378163662,1.87654176,Golden State Warriors,gs,0.6837978738,0.0187654176
Clippers,West,2.417029642,0.028242988,—,83.91577529,7.659592789,3.587849624,LA Clippers,lac,0.8391577528999999,0.03587849624
Lakers,West,2.193958641,1.681358718,100,69.85556521,7.048813265,3.094318164,Los Angeles Lakers,lal,0.6985556520999999,0.03094318164
Knicks,East,1.966774918,2.822457045,—,86.84504196,4.78493865,2.508087937,New York Knicks,ny,0.8684504196,0.02508087937
Cavaliers,East,1.943024821,3.03059511,—,88.01408204,5.176805981,2.538087937,Cleveland Cavaliers,cle,0.8801408204000001,0.025380879369999998
Suns,West,0.979554654,0.627979031,—,48.82498496,7.510299372,3.995640465,Phoenix Suns,phx,0.4882498496,0.03995640465
Bulls,East,0.508378969,0.742740545,—,36.9363766,0.706932057,0.301419274,Chicago Bulls,chi,0.36936376600000004,0.0030141927400000003
Hawks,East,0.170218834,-0.020950321,—,27.57103299,0.81065672,0.40142186,Atlanta Hawks,atl,0.2757103299,0.0040142186
Magic,East,0.136667805,-1.443438709,—,79.12046502,1.662451281,0.47903015,Orlando Magic,orl,0.7912046502,0.0047903015
Kings,West,0.053861574,0.731236433,—,64.36313904,4.43293412,1.65654176,Sacramento Kings,sac,0.6436313904,0.0165654176
Nets,East,0.009374704,0.799655734,—,44.68800094,0.960358211,0.322836158,Brooklyn Nets,bkn,0.4468800094,0.0032283615799999998
Rockets,West,-0.582763171,-6.044671164,—,34.40297776,0.503569139,0.315359123,Houston Rockets,hou,0.3440297776,0.0031535912300000002
Mavericks,West,-0.762847565,-0.598966078,—,61.71335471,3.951924708,1.625430183,Dallas Mavericks,dal,0.6171335471,0.016254301829999998
Raptors,East,-0.803553088,-0.869754548,—,14.47808745,0.342849951,0.181419274,Toronto Raptors,tor,0.1447808745,0.00181419274
Pacers,East,-2.278409991,-3.438399271,—,35.91027115,0.798631135,0.510025248,Indiana Pacers,ind,0.3591027115,0.00510025248
Grizzlies,West,-2.587347715,-0.052746235,—,10.86325234,0.695851572,0.315359123,Memphis Grizzlies,mem,0.10863252340000001,0.0031535912300000002
Jazz,West,-6.367820945,-3.524925456,—,2.532612395,0.183753013,<0.1,Utah Jazz,uta,0.02532612395,0.001
Wizards,East,-7.364151188,-3.810319777,—,0.235677623,0.087032622,<0.1,Washington Wizards,wsh,0.00235677623,0.001
Hornets,East,-8.347684289,-7.19860254,—,3.483176637,0.087032622,<0.1,Charlotte Hornets,cha,0.03483176637,0.001
Blazers,West,-10.11858977,-5.36155676,—,0.239401172,0.084724443,<0.1,Portland Trail Blazers,por,0.00239401172,0.001
Spurs,West,-10.66844978,-11.2393647,—,0.239401172,0.084724443,<0.1,San Antonio Spurs,sa,0.00239401172,0.001
Pistons,East,-10.78819244,-9.155763858,—,0.188729889,0.087032622,<0.1,Detroit Pistons,det,0.00188729889,0.001
