Team,Conf.,RS,PO,NBA Cup%,Playoffs%,Finals%,Champ%
Celtics,East,9.323666579,7.2529321,23.87514001,97.51085344,39.8037493,25.38293163
76ers,East,5.746986975,4.480362099,4.702696071,95.65487994,14.75422296,7.276516391
Nuggets,West,5.298597448,5.447219161,10.72757623,96.68242036,34.24274276,19.35051456
Cavaliers,East,5.272046621,3.114219465,2.383101687,91.75473039,8.095350824,3.764102913
Heat,East,4.169395831,2.67499855,5.849305062,86.90039042,6.490562395,2.975519466
Knicks,East,4.113542551,3.064272776,2.363101687,87.80482601,6.514740986,3.151293163
Bucks,East,4.035549085,2.533186014,11.66262705,95.44096481,18.44157266,9.585534356
Warriors,West,3.5741534,1.953843834,3.55948635,85.18550408,11.1850971,4.911385243
Lakers,West,2.863579357,1.668864034,12.21510555,79.76525742,8.796943781,3.552762666
Suns,West,2.48635091,0.67190253,2.612525409,85.83403055,14.58613825,6.532770487
T-Wolves,West,2.101092015,-0.113094096,7.435065339,85.96336181,5.796409644,1.998302712
Bulls,East,1.10989286,-1.069863192,0.095824723,31.47167861,0.510626673,0.32618915
Clippers,West,1.060948403,-0.819731855,0.233018456,52.30829298,4.376943781,2.221038932
Thunder,West,1.03996977,-1.029961896,0.163018456,75.53525742,3.013204822,0.741367638
Raptors,East,1.010645089,-0.391294193,0.285339659,41.71862505,0.956478689,0.348700301
Kings,West,0.96622575,0.47959593,3.857532669,68.49230572,4.19968216,1.277587555
Hawks,East,0.95851641,1.050712657,0.65535691,63.70739149,2.033989018,0.801466444
Grizzlies,West,0.347220523,1.562272162,<0.1,22.60534012,2.291274276,0.933391249
Mavericks,West,-0.069811678,1.216613639,0.175824723,73.87136049,6.946943781,2.536831146
Pelicans,West,-0.338367565,0.567410069,2.359927442,49.15428172,3.55492719,1.24217213
Nets,East,-1.142276902,1.242138061,0.718230428,34.37188959,0.859302581,0.437271917
Magic,East,-1.716086625,-3.365290527,0.589978908,33.01573605,0.410626673,0.092676205
Pacers,East,-4.16797075,-4.384233714,2.839305062,32.57145962,0.850187465,0.187424338
Jazz,West,-4.190805011,-2.399284822,0.155824723,5.212670061,0.246803072,0.082676205
Wizards,East,-4.426278459,-2.862960251,<0.1,1.685673392,0.086546029,<0.1
Hornets,East,-6.739411786,-5.782220314,<0.1,4.123954754,0.105497715,<0.1
Rockets,West,-7.359363954,-7.98132554,0.482507539,15.80556687,0.594413033,0.082676205
Pistons,East,-8.453731575,-7.467009975,<0.1,2.266946435,0.086546029,<0.1
Blazers,West,-9.789542374,-6.961383959,<0.1,1.526667762,0.084238174,<0.1
Spurs,West,-12.83243309,-9.912673105,<0.1,2.057682635,0.084238174,<0.1
