Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%,Team.y,unit,wins,make_playoffs,win_finals
Celtics,East,9.493759365,7.26614188,63.8,>99.9,65.78,47.02,34.18,Boston Celtics,bos,64,0.9990000000000001,0.3418
76ers,East,7.58977274,5.438338722,57.559,>99.9,52.92,24.5,15.16,Philadelphia 76ers,phi,58,0.9990000000000001,0.1516
Nuggets,West,5.914344764,5.837529185,55.4306,>99.9,59.62,44.02,21.92,Denver Nuggets,den,55,0.9990000000000001,0.2192
T-Wolves,West,5.533087188,2.205656475,57.6304,>99.9,32.76,13.92,4.82,Minnesota Timberwolves,min,58,0.9990000000000001,0.0482
Thunder,West,4.523178078,2.067692857,54.7172,99.88,26.62,12,3.96,Oklahoma City Thunder,okc,55,0.9987999999999999,0.039599999999999996
Bucks,East,3.967947861,2.368071547,53.0948,99.88,21.82,7.02,3.08,Milwaukee Bucks,mil,53,0.9987999999999999,0.0308
Pelicans,West,3.71225096,1.221742714,48.1816,91.88,18.62,7.14,1.9,New Orleans Pelicans,no,48,0.9188,0.019
Clippers,West,2.747171679,0.356518253,47.9112,90.54,14.66,4.9,1.18,LA Clippers,lac,48,0.9054000000000001,0.0118
Warriors,West,2.695329045,1.195861796,44.508,67.56,11.92,4.66,1.34,Golden State Warriors,gs,45,0.6756,0.0134
Heat,East,1.94528858,2.398590101,46.4394,93.66,15.9,6.04,2.86,Miami Heat,mia,46,0.9366,0.0286
Lakers,West,1.827154488,1.607148343,43.3702,58.86,10.7,4.56,1.18,Los Angeles Lakers,lal,43,0.5886,0.0118
Cavaliers,East,1.647556036,2.75890595,45.3342,88.98,16.86,6.64,2.96,Cleveland Cavaliers,cle,45,0.8898,0.0296
Knicks,East,1.563263426,2.58475617,45.058,86.62,13.96,5.44,2.44,New York Knicks,ny,45,0.8662000000000001,0.024399999999999998
Suns,West,1.511177538,0.853520065,43.3202,55.2,9.2,3.48,0.84,Phoenix Suns,phx,43,0.552,0.0084
Bulls,East,0.651978141,0.566591202,40.6676,45.16,4,1.2,0.46,Chicago Bulls,chi,41,0.45159999999999995,0.0046
Kings,West,0.469762133,0.992283345,44.9144,70.3,11.72,4.2,1.08,Sacramento Kings,sac,45,0.703,0.0108
Hawks,East,0.273512321,-0.06100914,38.7366,24.5,1.4,0.44,0.08,Atlanta Hawks,atl,39,0.245,8e-4
Raptors,East,0.085345345,-0.678467654,37.5542,14.74,0.64,0.08,<0.1,Toronto Raptors,tor,38,0.1474,0.001
Magic,East,0.009961473,-1.454028972,44.7192,81.64,3.8,0.78,0.16,Orlando Magic,orl,45,0.8164,0.0016
Rockets,West,-0.187507321,-5.877196851,41.7208,30.86,0.54,0.08,<0.1,Houston Rockets,hou,42,0.3086,0.001
Nets,East,-0.904792137,0.290496795,38.3666,24.18,1.74,0.62,0.18,Brooklyn Nets,bkn,38,0.2418,0.0018
Mavericks,West,-1.012341234,-0.792225548,41.7564,34.74,3.62,1.04,0.12,Dallas Mavericks,dal,42,0.34740000000000004,0.0012
Pacers,East,-1.33801613,-2.716696048,40.558,40.64,1.18,0.22,0.08,Indiana Pacers,ind,41,0.4064,8e-4
Grizzlies,West,-3.77847212,-0.650826119,30.1264,<0.1,<0.1,<0.1,<0.1,Memphis Grizzlies,mem,30,0.001,0.001
Jazz,West,-4.830225856,-3.19752718,31.8358,0.2,<0.1,<0.1,<0.1,Utah Jazz,uta,32,0.002,0.001
Wizards,East,-7.568173602,-3.918713177,21.067,<0.1,<0.1,<0.1,<0.1,Washington Wizards,wsh,21,0.001,0.001
Hornets,East,-9.032464653,-7.520288434,20.8416,<0.1,<0.1,<0.1,<0.1,Charlotte Hornets,cha,21,0.001,0.001
Pistons,East,-10.24629507,-8.855528451,15.094,<0.1,<0.1,<0.1,<0.1,Detroit Pistons,det,15,0.001,0.001
Blazers,West,-10.54061985,-5.903662071,19.4666,<0.1,<0.1,<0.1,<0.1,Portland Trail Blazers,por,19,0.001,0.001
Spurs,West,-10.90010655,-11.30342864,16.22,<0.1,<0.1,<0.1,<0.1,San Antonio Spurs,sa,16,0.001,0.001
