Team,Conf.,RS,PO,W,PO%,CF%,Fin%,Champ%
Celtics,East,9.550478503,7.144758231,63.1724,>99.9,63.68,44.86,31.9
Thunder,West,6.398031891,2.679981354,56.3726,>99.9,30.62,14.08,5.16
76ers,East,6.332422439,4.976421245,54.5764,>99.9,43.96,21.46,13.12
Nuggets,West,6.164379402,5.750207205,55.2712,>99.9,56.94,40.78,21.18
T-Wolves,West,6.01900396,2.500734739,57.8274,>99.9,33.46,15.9,5.1
Pelicans,West,5.182888384,1.952251503,50.589,99.2,25.04,10.24,3.52
Clippers,West,3.900297244,1.098281939,50.766,99.5,19.54,7.06,1.7
Bucks,East,3.872407955,2.534065529,52.5448,99.82,22.08,7.58,3.42
Heat,East,2.991110191,2.652840912,48.5454,97.18,17.88,6.64,2.82
Knicks,East,2.667043492,3.49425723,47.5362,95.94,22.58,9.88,4.64
Cavaliers,East,2.583985212,3.453813605,47.9928,96.7,21.16,8,3.88
Suns,West,1.317925866,0.694958174,42.6158,58.4,8.5,3.08,0.82
Mavericks,West,0.688392769,-0.357671713,44.8664,79.1,8.1,2.6,0.66
Magic,East,0.680751298,-1.268162571,45.4134,83.44,3.98,0.68,0.18
Lakers,West,-0.041263041,1.426677234,40.4272,37.02,6.54,2.62,0.72
Warriors,West,-0.065190802,0.608557529,39.5642,25.76,2.92,1.12,0.32
Raptors,East,-0.435728413,-0.782108712,36.0364,12.06,0.36,0.06,<0.1
Pacers,East,-0.563892291,-2.66358716,43.393,67.8,1.54,0.14,<0.1
Bulls,East,-0.572808929,0.378284445,38.9098,30.26,2.14,0.54,0.14
Kings,West,-0.640545346,0.386318674,42.9296,61.4,7.48,2.42,0.62
Rockets,West,-0.820930915,-5.777282769,40.176,25.14,0.22,<0.1,<0.1
Hawks,East,-1.59527818,-0.844684118,35.6114,10.38,0.48,0.12,<0.1
Jazz,West,-2.253703344,-2.716351749,38.9328,14.26,0.62,0.08,0.06
Nets,East,-2.835202626,-0.628471994,34.4338,6.44,0.16,<0.1,<0.1
Grizzlies,West,-4.044037682,-0.300327466,31.8836,0.24,<0.1,<0.1,<0.1
Wizards,East,-7.953778154,-4.501531208,19.3366,<0.1,<0.1,<0.1,<0.1
Spurs,West,-9.131390962,-10.54334661,17.9264,<0.1,<0.1,<0.1,<0.1
Pistons,East,-10.00155276,-8.955600522,14.253,<0.1,<0.1,<0.1,<0.1
Hornets,East,-10.07085333,-7.762452686,19.0106,<0.1,<0.1,<0.1,<0.1
Blazers,West,-10.83926441,-7.357292346,19.0858,<0.1,<0.1,<0.1,<0.1
